birth,car,city,class,class_10_after,class_10_before,class_14,county,daughter,depression,edu,equity,f_birth,f_edu,f_political,f_work_14,family_income,family_m,family_status,floor_area,gender,happiness,health,health_problem,height_cm,house,hukou,hukou_loc,inc_ability,inc_exp,income,insur_1,insur_2,insur_3,insur_4,invest_0,invest_1,invest_2,invest_3,invest_4,invest_5,invest_6,invest_7,invest_8,invest_other,join_party,learn,leisure_1,leisure_10,leisure_11,leisure_12,leisure_2,leisure_3,leisure_4,leisure_5,leisure_6,leisure_7,leisure_8,leisure_9,m_birth,m_edu,m_political,m_work_14,marital,marital_1st,marital_now,media_1,media_2,media_3,media_4,media_5,media_6,minor_child,nationality,neighbor_familiarity,political,property_0,property_1,property_2,property_3,property_4,property_5,property_6,property_7,property_8,property_other,province,public_service_1,public_service_2,public_service_3,public_service_4,public_service_5,public_service_6,public_service_7,public_service_8,public_service_9,relax,religion,religion_freq,s_birth,s_edu,s_hukou,s_income,s_political,s_work_exper,s_work_status,s_work_type,socia_outing,social_friend,social_neighbor,socialize,son,status_3_before,status_peer,survey_type,trust_1,trust_10,trust_11,trust_12,trust_13,trust_2,trust_3,trust_4,trust_5,trust_6,trust_7,trust_8,trust_9,view,weight_jin,work_exper,work_manage,work_status,work_type,work_yr,age
1988,2,15,4,4,3,3,31,2,5,6,4,1968,1,1,2,60000.0,5,3,200.0,2,4.0,4,4,165,1,1,2.0,2,50000.0,24000,2,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,1,5,5,1,3,3,4,4,4,3,3,4,1968,1,1,2,3,2014.0,2014.0,2,1,1,5,5,1,2.0,1,4,1,0,1,1,0,0,0,0,0,0,0,6,78,80.0,80,80,80.0,79,81,80,80,3,1,1,1989.0,5.0,1.0,36000.0,1.0,1.0,3.0,1.0,2,3.0,2.0,3,0,2,2,1,3,5,-8,4,3,4,4,4,4,4,3,4,5,4,100,5,0.0,0.0,0.0,0.0,27
1968,2,69,6,7,6,5,109,2,2,1,2,1945,10,1,2,16500.0,3,3,199.0,1,4.0,4,2,173,3,1,1.0,2,40000.0,8000,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,1,1,4,4,5,4,2,5,5,5,5,5,5,1948,1,1,2,3,1990.0,1990.0,1,1,5,5,1,2,1.0,1,5,1,0,1,1,1,0,0,0,0,0,0,23,100,20.0,60,70,60.0,80,62,52,75,4,0,3,1970.0,1.0,1.0,8000.0,1.0,4.0,0.0,0.0,1,5.0,5.0,4,0,1,3,2,5,3,3,3,1,5,5,3,5,4,3,3,3,4,120,4,0.0,0.0,0.0,0.0,47
1964,2,64,4,5,4,4,100,1,4,10,3,1928,3,4,1,36000.0,2,2,80.0,1,4.0,4,5,171,1,2,1.0,2,50000.0,36000,1,1,2,2,0,1,0,0,0,0,0,0,0,0,1,3,1,5,5,1,5,4,1,5,4,4,3,1,1936,1,1,1,3,1990.0,1990.0,4,3,2,4,4,1,0.0,1,4,4,0,1,1,0,0,1,0,0,0,0,21,80,80.0,70,70,70.0,70,70,70,60,3,1,3,1967.0,7.0,2.0,0.0,1.0,5.0,0.0,0.0,1,5.0,5.0,2,0,1,2,1,2,4,-8,-8,1,3,-8,-8,4,3,2,3,3,5,120,1,3.0,3.0,1.0,35.0,51
1939,2,7,1,1,7,4,14,4,1,3,3,1916,1,1,2,90000.0,2,3,56.0,2,2.0,1,1,156,1,5,1.0,2,40000.0,40000,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,4,5,5,5,5,5,5,5,5,5,5,5,1917,1,1,2,3,1957.0,1957.0,1,1,1,2,1,1,0.0,1,3,1,0,1,0,0,0,0,0,0,0,0,4,80,70.0,70,65,70.0,60,80,80,70,2,1,1,1940.0,4.0,5.0,50000.0,4.0,5.0,0.0,0.0,1,3.0,2.0,1,0,3,2,1,2,4,-8,5,2,2,4,4,4,4,4,4,4,3,115,5,0.0,0.0,0.0,0.0,76
1935,2,41,2,3,1,-8,72,1,-8,1,5,-2,-8,1,2,30000.0,4,3,40.0,2,4.0,1,-8,136,1,1,1.0,2,50000.0,1000,1,-1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,5,5,5,5,4,5,5,-2,-8,1,2,3,1960.0,1960.0,1,1,1,1,1,1,0.0,1,5,1,0,0,1,0,0,0,0,0,0,0,15,-2,80.0,70,-2,-2.0,-2,80,-2,80,1,0,4,1936.0,1.0,1.0,9000.0,1.0,4.0,0.0,0.0,1,3.0,5.0,3,0,2,3,2,4,3,-8,-8,2,2,2,3,3,3,3,3,3,3,65,4,0.0,0.0,0.0,0.0,80
1983,2,82,6,-8,3,5,124,0,3,4,4,1945,1,1,2,50000.0,5,3,120.0,1,4.0,4,5,185,1,1,1.0,2,60000.0,45000,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,1,2,5,5,1,4,4,4,5,5,5,1,5,1945,3,1,15,3,2013.0,2013.0,2,2,2,5,5,1,1.0,1,5,1,0,0,0,0,1,0,0,0,0,0,29,100,100.0,100,100,60.0,100,100,60,-2,4,1,1,1987.0,4.0,1.0,0.0,1.0,1.0,3.0,1.0,1,7.0,5.0,3,1,1,2,2,4,2,-8,2,2,2,2,2,4,4,2,4,2,5,185,1,3.0,3.0,1.0,8.0,32
1974,2,16,5,6,4,3,32,0,3,4,2,1932,-8,1,2,36000.0,3,3,63.0,2,4.0,2,3,162,1,1,3.0,2,20000.0,0,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,4,5,2,3,4,4,4,3,4,2,4,-2,1,1,2,3,2000.0,2000.0,2,2,2,4,4,3,0.0,1,2,2,0,1,1,0,0,0,0,0,0,0,6,80,70.0,70,80,70.0,60,70,80,80,4,0,4,1977.0,5.0,2.0,36000.0,1.0,1.0,3.0,1.0,1,3.0,6.0,2,1,2,2,1,3,3,3,3,1,3,3,3,5,4,2,3,3,3,120,5,0.0,0.0,0.0,0.0,41
1962,2,87,1,1,1,1,131,2,3,6,2,1922,4,1,2,20000.0,1,3,90.0,2,4.0,2,2,155,1,1,1.0,2,50000.0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,3,5,5,5,3,4,4,3,3,5,4,1922,3,1,2,3,1985.0,1985.0,2,2,3,5,1,1,0.0,1,5,1,0,1,1,0,0,0,0,0,0,0,31,50,50.0,50,50,50.0,50,30,40,50,4,0,8,1960.0,4.0,1.0,20000.0,1.0,3.0,0.0,0.0,2,2.0,1.0,3,0,1,2,2,4,4,4,4,1,4,4,4,4,4,4,4,4,4,90,3,0.0,0.0,0.0,0.0,53
1976,1,7,6,5,6,4,16,0,5,7,4,1945,4,1,1,200000.0,5,3,77.0,1,4.0,5,5,170,1,4,3.0,2,10000000.0,100000,1,1,2,2,0,0,1,0,0,0,0,0,0,0,0,3,2,3,3,2,3,2,3,3,3,2,2,3,1945,1,1,2,3,2006.0,2006.0,4,4,4,4,4,4,1.0,1,4,1,0,1,0,0,0,0,0,0,0,0,4,80,70.0,70,70,70.0,70,70,70,70,3,1,1,1980.0,7.0,5.0,50000.0,1.0,1.0,3.0,1.0,4,4.0,4.0,3,1,2,2,1,4,3,3,4,4,3,3,4,3,3,4,4,3,3,135,1,2.0,2.0,1.0,17.0,39
1965,1,7,6,6,5,3,22,1,5,4,4,1939,3,1,1,100000.0,4,3,91.0,1,5.0,5,5,175,2,2,1.0,2,120000.0,100000,1,1,2,2,0,1,0,0,0,0,0,0,0,0,1,4,1,2,5,1,4,3,1,4,3,3,1,1,1944,4,1,2,3,1986.0,1986.0,4,2,5,4,4,4,0.0,1,5,4,0,0,1,0,0,0,0,0,0,0,4,60,50.0,40,50,50.0,80,80,80,80,4,1,1,1963.0,4.0,2.0,0.0,1.0,4.0,0.0,0.0,3,3.0,5.0,4,1,1,2,1,4,4,1,5,1,4,5,5,5,5,4,5,4,3,160,1,1.0,2.0,1.0,8.0,50
1951,2,79,3,3,3,3,119,0,3,4,2,1929,2,4,1,80000.0,5,2,71.0,1,4.0,2,2,165,1,2,1.0,2,60000.0,25000,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,1,5,5,5,4,4,4,5,5,5,2,1,1929,2,1,1,3,1976.0,1976.0,2,2,2,5,1,1,0.0,3,4,1,0,0,1,0,0,0,0,0,0,0,27,50,50.0,60,50,60.0,60,50,50,50,4,1,1,1953.0,4.0,2.0,20000.0,1.0,5.0,0.0,0.0,1,5.0,1.0,3,1,2,2,1,2,5,-8,-8,1,1,-8,-8,5,4,2,3,2,5,130,5,0.0,0.0,0.0,0.0,64
1948,1,21,1,4,1,1,43,3,2,1,4,-2,1,1,2,20000.0,6,3,100.0,2,5.0,1,2,160,1,1,1.0,2,1000.0,2000,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,1,5,5,5,5,3,5,5,3,5,5,5,-2,1,1,2,3,1970.0,1970.0,1,1,1,4,1,1,0.0,1,5,1,0,0,1,0,0,0,0,0,0,0,9,100,100.0,100,100,100.0,100,100,100,100,3,1,1,1949.0,3.0,1.0,4000.0,1.0,3.0,0.0,0.0,2,7.0,3.0,2,1,3,3,2,4,-8,-8,-8,3,4,4,4,4,-8,4,-8,4,4,120,4,0.0,0.0,0.0,0.0,67
1980,2,62,5,6,4,1,98,1,3,3,4,1952,3,1,2,40000.0,5,2,220.0,2,4.0,4,4,154,1,1,2.0,3,-2.0,5000,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,2,5,5,5,5,2,5,5,3,3,4,5,1963,1,1,15,3,2003.0,2003.0,1,1,1,2,1,1,2.0,1,3,1,0,0,0,0,0,1,0,0,0,0,21,60,70.0,50,50,60.0,40,60,40,70,3,1,1,1982.0,4.0,1.0,30000.0,1.0,3.0,0.0,0.0,1,2.0,1.0,4,1,2,2,1,5,3,-8,-8,1,4,4,4,4,4,3,5,5,4,90,4,0.0,0.0,0.0,0.0,35
1942,2,57,7,7,5,3,92,1,3,6,4,-2,1,1,2,48000.0,1,3,80.0,1,4.0,3,3,172,0,4,1.0,-8,-2.0,48000,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,1,5,5,5,5,5,4,5,4,4,5,2,-2,1,1,-8,3,1967.0,1967.0,2,2,2,5,2,2,0.0,1,2,1,0,0,0,0,0,0,0,0,1,0,19,80,85.0,70,90,70.0,75,90,90,90,4,1,1,1946.0,4.0,5.0,0.0,1.0,5.0,0.0,0.0,1,5.0,5.0,2,1,1,1,1,2,-8,-8,-8,2,2,2,2,4,3,2,2,2,3,120,5,0.0,0.0,0.0,0.0,73
1956,2,32,4,6,4,2,58,1,5,6,1,1918,3,1,1,90000.0,3,3,63.0,1,4.0,4,5,165,1,2,1.0,-8,-2.0,-1,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,4,1,4,5,1,4,4,1,3,3,2,4,5,-2,-8,1,5,3,1960.0,1960.0,2,2,4,4,4,1,0.0,1,2,1,0,1,0,0,0,0,0,0,0,0,12,80,80.0,60,80,60.0,50,80,60,90,4,1,1,1938.0,6.0,5.0,50000.0,4.0,1.0,3.0,1.0,3,2.0,6.0,2,0,2,2,1,2,-8,-8,-8,1,2,3,3,5,3,2,2,2,4,65,5,0.0,0.0,0.0,0.0,59
1970,2,76,3,3,3,2,116,0,4,4,4,1950,3,1,2,60000.0,2,2,80.0,2,4.0,4,4,156,1,2,1.0,2,80000.0,20000,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,3,2,5,3,2,3,2,2,3,3,3,3,5,1953,3,1,2,3,1993.0,1993.0,2,1,2,3,2,1,0.0,1,2,1,0,1,0,0,0,0,0,0,0,0,26,85,85.0,89,89,89.0,89,89,89,89,3,1,1,1967.0,4.0,2.0,30000.0,1.0,1.0,2.0,1.0,2,2.0,2.0,3,1,2,2,1,4,4,4,4,4,4,4,4,4,3,4,4,5,3,100,1,4.0,2.0,1.0,26.0,45
1966,2,48,6,4,8,3,80,2,3,4,4,1934,12,4,1,100000.0,1,3,117.0,2,5.0,4,5,161,2,1,2.0,2,30000.0,19200,1,1,2,2,0,0,0,1,0,0,0,0,0,0,0,2,1,5,5,5,5,1,2,2,3,3,2,2,1937,1,1,2,3,1988.0,1968.0,3,3,1,5,1,1,0.0,1,3,1,0,0,1,0,0,0,0,0,0,0,17,80,67.0,-2,40,30.0,40,-2,60,-2,4,1,1,1968.0,6.0,1.0,100000.0,1.0,1.0,2.0,1.0,1,3.0,2.0,3,0,2,2,1,4,3,-8,1,5,4,3,3,3,3,2,3,3,4,126,5,0.0,0.0,0.0,0.0,49
1963,2,88,5,5,3,3,133,0,3,4,4,1938,7,1,1,20000.0,2,2,79.0,2,4.0,3,3,158,1,2,1.0,2,30000.0,10000,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,1,1,5,4,3,5,3,4,4,3,4,2,4,1943,3,1,1,3,1985.0,1985.0,3,3,1,4,3,3,0.0,1,3,1,0,1,0,0,0,0,0,0,0,0,31,80,80.0,80,80,80.0,80,80,80,80,3,1,1,1962.0,5.0,2.0,10000.0,4.0,1.0,5.0,1.0,6,5.0,5.0,3,1,1,3,1,3,3,3,3,2,3,3,3,4,4,3,3,3,4,140,5,0.0,0.0,0.0,0.0,52
1992,2,7,4,7,1,3,19,0,3,10,2,1970,5,1,9,40000.0,1,2,140.0,1,3.0,4,4,183,0,1,3.0,2,200000.0,40000,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,4,4,5,4,2,3,4,3,4,4,2,1,2,1971,3,1,5,1,0.0,0.0,1,2,3,3,5,5,0.0,1,2,2,0,0,0,0,0,0,0,0,1,0,4,60,40.0,40,40,50.0,40,60,80,70,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2.0,7.0,4,0,1,2,1,2,2,2,2,2,2,2,2,4,2,2,2,2,2,135,1,2.0,5.0,2.0,4.0,23
1947,2,53,4,6,3,3,87,1,3,1,4,1920,1,1,2,40000.0,2,2,80.0,1,5.0,2,2,168,1,1,1.0,2,6000.0,3000,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,3,5,5,5,5,3,5,5,5,4,5,5,1922,1,1,2,3,1976.0,1976.0,1,1,3,1,1,1,0.0,1,5,1,0,0,0,1,0,0,0,0,0,0,18,80,79.0,89,78,80.0,68,80,80,79,4,1,1,1954.0,1.0,1.0,1000.0,1.0,3.0,0.0,0.0,3,2.0,2.0,4,2,1,3,2,5,3,3,3,2,4,4,4,5,4,4,-8,3,4,110,3,0.0,0.0,0.0,0.0,68
1979,1,7,6,8,4,-8,21,0,3,11,4,1941,4,1,1,170000.0,2,3,57.0,1,4.0,4,4,171,1,2,1.0,3,120000.0,80000,1,1,2,2,0,0,1,0,0,0,0,0,0,0,0,3,1,4,5,1,4,1,5,5,4,3,2,4,1948,4,1,1,3,2012.0,2012.0,1,1,2,5,5,1,0.0,1,4,1,0,0,0,0,1,0,0,0,0,0,4,50,60.0,50,60,50.0,60,50,60,70,3,1,2,1987.0,10.0,2.0,110000.0,1.0,1.0,2.0,1.0,2,6.0,6.0,2,0,1,2,1,4,3,-8,3,3,3,-8,-8,4,3,3,5,3,3,146,1,3.0,3.0,1.0,17.0,36
1965,2,80,5,7,3,3,120,0,4,4,4,1942,4,1,2,40000.0,2,4,90.0,2,4.0,4,4,175,1,2,3.0,2,60000.0,20000,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,2,1,5,5,5,4,4,4,4,4,4,4,3,1939,4,1,15,3,1984.0,1984.0,2,2,2,4,1,1,0.0,1,3,1,0,0,1,0,0,0,0,0,0,0,27,60,60.0,70,70,60.0,70,60,70,60,2,1,1,1963.0,4.0,2.0,20000.0,1.0,1.0,6.0,1.0,2,4.0,3.0,2,1,1,2,1,4,-8,-8,3,1,3,4,3,5,3,3,3,2,4,100,1,2.0,6.0,1.0,-2.0,50
1926,2,7,10,10,10,5,20,3,2,12,4,-2,3,1,2,150000.0,3,4,70.0,1,4.0,2,2,170,1,2,1.0,2,150000.0,100000,2,1,2,2,0,0,0,1,0,0,0,0,0,0,0,1,1,5,5,5,5,4,4,5,4,4,5,4,-2,1,1,2,3,1947.0,1947.0,2,2,1,2,1,1,0.0,1,5,1,0,1,0,0,0,0,0,0,0,0,4,90,85.0,70,70,70.0,80,80,85,90,5,1,1,1928.0,3.0,2.0,30000.0,1.0,5.0,0.0,0.0,1,3.0,2.0,1,2,2,1,1,4,4,-8,4,3,4,4,4,4,4,4,4,4,3,120,5,0.0,0.0,0.0,0.0,89
1987,2,46,5,9,2,7,77,0,4,4,3,1965,3,1,1,150000.0,2,2,240.0,2,4.0,5,4,168,0,1,1.0,2,100000.0,150000,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,3,2,4,4,1,3,3,2,3,3,3,2,3,1967,2,1,1,3,2005.0,2005.0,3,3,1,4,4,4,2.0,1,2,1,0,0,1,0,0,0,0,0,0,0,16,60,65.0,60,60,65.0,60,70,60,65,3,1,1,1987.0,4.0,1.0,10000.0,1.0,1.0,2.0,2.0,-8,3.0,3.0,3,2,1,2,1,3,3,2,2,1,3,4,4,5,5,5,3,3,3,98,1,4.0,1.0,1.0,8.0,28
1937,2,21,4,-8,5,3,43,1,3,1,4,-2,2,1,2,10000.0,2,2,40.0,2,4.0,2,3,150,1,1,1.0,2,-2.0,660,1,1,2,2,0,1,0,0,0,0,0,0,0,0,1,1,4,5,5,5,5,5,5,5,4,4,1,4,-2,1,1,2,3,1963.0,1963.0,1,1,4,1,1,1,0.0,1,5,4,0,1,1,0,0,0,0,0,0,0,9,70,80.0,80,80,80.0,80,70,80,80,3,0,3,1941.0,4.0,1.0,10000.0,1.0,3.0,0.0,0.0,1,7.0,7.0,2,3,2,3,2,4,-8,5,-8,2,4,4,4,4,3,3,-8,4,3,80,4,0.0,0.0,0.0,0.0,78
1957,2,39,2,3,2,-8,70,1,3,4,4,-2,2,1,-8,30000.0,1,3,25.0,1,4.0,4,3,172,1,1,3.0,-8,36000.0,20000,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,4,5,4,5,3,4,5,5,4,4,4,5,-2,1,1,-8,3,1982.0,1982.0,2,2,2,5,1,1,1.0,1,3,1,0,0,0,0,0,0,0,0,1,0,15,40,20.0,20,50,0.0,30,40,60,30,4,1,1,1957.0,4.0,1.0,10000.0,1.0,3.0,0.0,0.0,6,5.0,2.0,3,1,2,2,1,5,4,3,-8,4,4,4,4,4,3,3,5,4,3,150,1,3.0,4.0,1.0,35.0,58
1969,2,8,6,6,5,3,23,1,4,-8,2,-2,3,1,2,80000.0,2,4,70.0,2,4.0,5,4,165,1,2,1.0,2,100000.0,60000,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,3,2,4,3,2,3,3,2,3,3,2,3,3,-2,3,1,2,3,1993.0,1993.0,3,3,4,3,3,4,0.0,1,4,1,0,0,1,0,0,0,0,0,0,0,5,80,88.0,80,80,80.0,70,70,80,98,3,-8,1,1961.0,9.0,2.0,80000.0,1.0,1.0,3.0,1.0,2,3.0,3.0,3,0,2,2,1,4,4,3,4,4,4,4,3,4,4,3,3,4,4,105,1,3.0,3.0,1.0,30.0,46
1960,2,75,4,4,4,2,115,0,4,6,2,-2,-8,1,2,15600.0,1,2,24.2,1,3.0,4,4,173,1,2,2.0,2,3000.0,15600,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,5,5,5,5,4,2,5,4,4,2,3,1938,3,1,4,6,-3.0,0.0,4,2,2,5,1,2,0.0,1,4,1,0,1,0,0,0,0,0,0,0,0,26,60,70.0,70,60,70.0,70,60,60,60,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.0,2.0,3,1,2,3,1,3,-8,-8,-8,2,3,3,3,4,2,3,3,3,4,135,1,3.0,4.0,1.0,30.0,55
